areaId	areaName	round	ballots	totalPts	Chris ALEXANDER	Maxime BERNIER	Steven BLANEY	Michael CHONG	Kellie LEITCH	Pierre LEMIEUX	Deepak OBHRAI	Kevin O'LEARY	Erin O'TOOLE	Rick PETERSON	Lisa RAITT	Andrew SAXTON	Andrew SCHEER	Brad TROST	Undervotes	Remainder
1	Conservative Party of Canada	0	141694	33799.98127	0.011215946747772	0.28885581154643	0.012614439830428	0.075516958711025	0.070002567489588	0.073837494762612	0.004138996376432	0.010686588170408	0.10653027885539	0.0065260050956235	0.033370792752513	0.0050276868097211	0.21821872654547	0.083457706306593	0	0.01873
1	Conservative Party of Canada	1		33799.98221	0.011390792385864	0.29063838758748	0.012696264966466	0.076114827635585	0.070266416865076	0.073914065826368	0	0.010791053016948	0.10677955531385	0.0066002478526157	0.033655764755505	0.0050739319605103	0.21845244693104	0.083626244902689	57	0.01779
1	Conservative Party of Canada	2		33799.98311	0.011569414361166	0.29155661492282	0.012810635987327	0.076436805059693	0.070503826651173	0.074080459799378	0	0.010867899809433	0.10754155936026	0.0067148350122356	0.034463010712433	0	0.2197338464883	0.083721091835776	97	0.01689
1	Conservative Party of Canada	3		33799.98396	0.012055434715064	0.29355726948694	0.01303881506339	0.077089542204623	0.070948780118889	0.074270187908101	0	0.010904240085917	0.10855230920648	0	0.035152468161112	0	0.22057214846087	0.083858804588616	178	0.01604
1	Conservative Party of Canada	4		33799.98527	0.012337185849904	0.29925078100485	0.013265401047318	0.0774741488519	0.071900784292857	0.074505541936883	0	0	0.10971633035863	0	0.035768338368865	0	0.22165859955714	0.084122888731661	363	0.01473
1	Conservative Party of Canada	5		33799.98628	0	0.30202182969644	0.013883154156121	0.078880286456732	0.072628284510653	0.075093912730428	0	0	0.11151146183246	0	0.036821372047018	0	0.22477178443399	0.084387914136159	540	0.01372
1	Conservative Party of Canada	6		33799.98753	0	0.30512275635742	0	0.079669424067388	0.074457705576556	0.075792022341021	0	0	0.11315441837383	0	0.037399419419253	0	0.22972325309612	0.084681000768405	620	0.01247
1	Conservative Party of Canada	7		33799.9888	0	0.31235155853069	0	0.086023655427957	0.0773855442816	0.076721278085157	0	0	0.1237058267901	0	0	0	0.23849370535886	0.085318431525634	1022	0.01120
1	Conservative Party of Canada	8		33799.99057	0	0.31685154283758	0	0.086961272486533	0.079527518933269	0	0	0	0.12792918391634	0	0	0	0.26030723475436	0.12842324707193	1381	0.00943
1	Conservative Party of Canada	9		33799.99214	0	0.34232526303777	0	0.09142136149621	0	0	0	0	0.146386509781	0	0	0	0.28277138084565	0.13709548483936	3608	0.00786
1	Conservative Party of Canada	10		33799.99353	0	0.36568277266176	0	0	0	0	0	0	0.18854592011515	0	0	0	0.30281869938571	0.14295260783738	7462	0.00647
1	Conservative Party of Canada	11		33799.99532	0	0.40376173785813	0	0	0	0	0	0	0.21264453565611	0	0	0	0.38359372648576	0	15754	0.00468
1	Conservative Party of Canada	12		33799.99684	0	0.49046742425672	0	0	0	0	0	0	0	0	0	0	0.50953257574328	0	23038	0.00316
2	Alberta	0	28842	3399.99784	0.0056185212164723	0.35544004933838	0.0033765433215687	0.046338014732386	0.059495173091051	0.060443817811367	0.010919992231524	0.015247850863341	0.10239416799159	0.0057072448022496	0.017736367150163	0.0028476841620582	0.23654677674736	0.077887796540483	0	0.00216
2	Alberta	1		3399.9981	0.0066199595817421	0.36043829553905	0.0034536989888318	0.04753601185836	0.059854562859903	0.06071941628438	0	0.015548905747918	0.10316665471078	0.0058750179889806	0.018283430805447	0.0029007222092271	0.23756376805034	0.078039555375046	32	0.00190
2	Alberta	2		3399.99824	0.0066806681641106	0.36083434266719	0.0034542664939732	0.04758840698694	0.060097266403291	0.060809625595571	0	0.015670016935068	0.10365613601024	0.0059436913120284	0.018758412651414	0	0.23827135863459	0.078235808145595	38	0.00176
2	Alberta	3		3399.99842	0.006961747352812	0.36293104512678	0.0035413663515761	0.048074598811137	0.060547357548478	0.061042634249224	0	0.015716204362236	0.10456234270838	0	0.019259111890999	0	0.23897826693696	0.078385324661416	59	0.00158
2	Alberta	4		3399.99852	0.00726789728132	0.37199879428183	0.0036346956998087	0.048539377011258	0.061784138658978	0.061365806123939	0	0	0.10581635782594	0	0.019895708660485	0	0.24094917841317	0.078748046043267	112	0.00148
2	Alberta	5		3399.99854	0	0.37390988409071	0.0039235340377529	0.049646491907023	0.062405988562572	0.061586682328399	0	0	0.10697264005296	0	0.020588541193903	0	0.24183354208146	0.079132695745216	123	0.00146
2	Alberta	6		3399.9987	0	0.37515297579378	0	0.049838274938164	0.063064118230398	0.062047826665345	0	0	0.10770602059348	0	0.02079053441991	0	0.24222834849907	0.079171900859844	129	0.00130
2	Alberta	7		3399.99873	0	0.38002561253898	0	0.053577061189079	0.064697774166522	0.062506917465819	0	0	0.11293309512501	0	0	0	0.24667753331778	0.079582006196808	173	0.00127
2	Alberta	8		3399.99898	0	0.38390356517107	0	0.054075127987244	0.066617087632185	0	0	0	0.11629275841724	0	0	0	0.2703916811175	0.10871977967476	221	0.00102
2	Alberta	9		3399.99919	0	0.40742782647545	0	0.056549904648654	0	0	0	0	0.12854657474198	0	0	0	0.29125521938727	0.11622047474664	622	0.00081
2	Alberta	10		3399.99932	0	0.42441159664703	0	0	0	0	0	0	0.15095302136707	0	0	0	0.30506769630766	0.11956768567824	1057	0.00068
2	Alberta	11		3399.99949	0	0.4605750132039	0	0	0	0	0	0	0.16882443708837	0	0	0	0.37060054970773	0	2239	0.00051
